307.25,68970
307.5,96386
309.0,0
309.0,158454
309.0,31308
309.1,45627
309.95,36224
309.95,57913
310.0,101073
310.0,30773
310.0,36985
310.0,37345
310.05,27763
310.0,60227
310.0,60675
310.2,82642
310.5,25749
310.5,99202
310.65,31056
310.7,35965
310.75,48608
310.9,153581
311.0,44447
311.05,303538
311.0,77424
311.0,96213
311.15,73057
311.45,26470
311.5,113247
311.5,47110
311.55,80798
311.5,71284
311.65,84000
311.7,51168
311.95,101543
311.95,39311
311.95,60446
311.95,66630
312.0,133123
312.05,111129
312.05,112371
312.05,45490
312.05,57747
312.1,178003
312.15,159280
312.15,4645523
312.15,62350
312.25,21731
312.25,47430
312.2,84523
312.2,97071
312.3,17259
312.35,139548
312.3,59923
312.3,75314
312.4,118716
312.4,32773
312.4,69701
312.5,46108
312.65,268074
312.7,54846
312.7,65724
312.7,98742
312.85,5505006
312.95,76519
313.0,125733
313.0,132396
313.0,477279
313.05,110852
313.05,192908
313.05,257648
313.0,5350552
313.0,5530576
313.05,56505
313.05,71199
313.05,91828
313.0,69413
313.0,80251
313.0,85951
313.0,94662
313.1,144828
313.15,162267
313.15,42299
313.1,5461527
313.15,66172
313.1,61989
313.2,13917
313.2,140350
313.35,146081
313.3,5292173
313.3,60061
313.45,63498
313.45,66623
313.5,61331
313.65,27038
313.6,5508541
313.75,81571
313.7,60235
313.95,39928
314.0,16388
314.0,403382
314.05,22961
314.0,5315318
314.1,158380
314.1,75424
314.2,107541
314.25,148142
314.4,127116
314.4,371078
314.5,109038
314.5,114343
314.5,12444
314.65,59589
314.6,59305
314.8,168474
314.8,336140
314.85,35171
314.95,218383
314.9,5300109
315.0,1031122
315.0,22837
315.0,27222
315.0,36606
315.0,39560
315.0,4978685
315.05,31870
315.05,33017
315.05,59211
315.05,68328
315.05,81935
315.0,65327
315.1,23201
315.1,33697
315.2,56323
315.3,24614
315.35,16320
315.35,19790
315.3,67141
315.3,8795
315.4,19389
315.4,19563
315.4,20378
315.4,24206
315.4,25286
315.4,39433
315.4,4476
315.5,13270
315.5,209395
315.5,24435
315.5,25072
315.5,35644
315.5,41558
315.5,75688
315.65,12355
315.65,24432
315.65,37318
315.65,7763
315.65,8632
315.7,217601
315.75,13787
315.75,14870
315.7,65099
315.8,32894
315.9,14594
315.9,185886
315.9,27149
315.9,31302
315.9,4965
315.95,26801
315.9,54928
315.95,59252
316.0,13274
316.0,16655
316.0,21683
316.0,217501
316.0,24014
316.0,31401
316.0,33729
316.0,39468
316.0,39901
316.0,40960
316.0,42808
316.05,10829
316.05,5937
316.0,7437
316.0,8839
316.0,9097
316.0,9627
316.1,28643
316.1,49285
316.1,54231
316.15,7340
316.15,9759
316.25,10662
316.25,13736
316.25,13846
316.25,28852
316.25,35785
316.25,8937
316.25,9265
316.3,10285
316.3,10818
316.35,193301
316.3,8515
316.4,23365
316.4,425386
316.4,4926
316.45,20283
316.45,42747
316.55,83672
316.5,95364
316.6,38475
316.65,13465
316.65,16464
316.65,19957
316.7,36641
316.7,59805
316.8,15966
316.85,17887
316.8,5293269
316.85,4854
316.85,6179
316.85,6377
316.85,7168
316.9,10859
316.9,45697
316.95,15151
316.95,21402
316.95,27661
316.95,28841
316.95,29984
316.95,7256
316.9,8950
317.0,10055
317.0,10185
317.0,10885
317.0,10969
317.0,11112
317.0,11407
317.0,12884
317.0,13190
317.0,13564
317.0,14212
317.0,14214
317.0,14348
317.0,14362
317.0,143685
317.0,14776
